#OTU ID,test_1,test_2,test_3,test_4,OTUsize,Taxonomy,superkingdom,phylum,class,order,family,genus,species
ASV1,0,581740,269843204,146331122,416756066,Bacteria{superkingdom}(99);Pseudomonadota{phylum}(99);Gammaproteobacteria{class}(99);Pseudomonadales{order}(99);Pseudomonadaceae{family}(99);Pseudomonas{genus}(99);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unassigned
ASV2,0,229835,0,0,229835,Bacteria{superkingdom}(95);Pseudomonadota{phylum}(95);Gammaproteobacteria{class}(95);Pseudomonadales{order}(95);Pseudomonadaceae{family}(95);Pseudomonas{genus}(95);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unassigned
ASV4,111041335,68784584,585243812,275892545,1040962276,Bacteria{superkingdom}(79);Pseudomonadota{phylum}(79);Gammaproteobacteria{class}(79);Pseudomonadales{order}(79);Pseudomonadaceae{family}(79);Pseudomonas{genus}(79);Pseudomonas_guangdongensis{species}(79),Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas_guangdongensis
ASV5,0,0,1376478,469266,1845744,Bacteria{superkingdom}(98);Pseudomonadota{phylum}(98);Gammaproteobacteria{class}(98);Pseudomonadales{order}(98);Pseudomonadaceae{family}(98);Pseudomonas{genus}(98);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Unassigned
ASV6,0,0,1455768,0,1455768,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Burkholderiales{order}(100);Comamonadaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Unassigned,Unassigned
ASV7,0,0,0,610144,610144,Bacteria{superkingdom}(73);Pseudomonadota{phylum}(73);Gammaproteobacteria{class}(73);Burkholderiales{order}(73);Nitrosomonadaceae{family}(73);Nitrosomonas{genus}(73);bacterium_enrichment{species}(73),Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas,bacterium_enrichment
ASV8,644804325,452741554,75490326,44021226,1217057431,Bacteria{superkingdom}(78);Bacteroidota{phylum}(78);Bacteroidia{class}(78);Bacteroidales{order}(78);Paludibacteraceae{family}(78);Paludibacter{genus}(78);uncultured_bacterium{species}(78),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,uncultured_bacterium
ASV9,610263274,425503300,68231737,42888102,1146886413,Bacteria{superkingdom}(80);Bacteroidota{phylum}(80);Bacteroidia{class}(80);Bacteroidales{order}(80);Paludibacteraceae{family}(80);Paludibacter{genus}(80);uncultured_bacterium{species}(80),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Paludibacter,uncultured_bacterium
ASV12,495855570,385167285,1162518,233054,882418427,Bacteria{superkingdom}(100);Bacteroidota{phylum}(100);Bacteroidia{class}(100);Bacteroidales{order}(100);Paludibacteraceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0),Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Paludibacteraceae,Unassigned,Unassigned
ASV15,325694,690426,569790,225742,1811652,Bacteria{superkingdom}(77);Pseudomonadota{phylum}(77);Alphaproteobacteria{class}(77);Sphingomonadales{order}(77);Sphingomonadaceae{family}(77);Sphingobium{genus}(77);Sphingobium_xenophagum{species}(77),Bacteria,Pseudomonadota,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingobium,Sphingobium_xenophagum
ASV17,0,2401112,0,0,2401112,Bacteria{superkingdom}(74);Pseudomonadota{phylum}(74);Gammaproteobacteria{class}(74);Methylococcales{order}(74);Methylomonadaceae{family}(74);Methylomonas{genus}(74);Methylomonas_methanica{species}(74),Bacteria,Pseudomonadota,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylomonas,Methylomonas_methanica
ASV19,472256,0,553906,0,1026162,Bacteria{superkingdom}(100);Pseudomonadota{phylum}(100);Gammaproteobacteria{class}(100);Burkholderiales{order}(100);Alcaligenaceae{family}(100);Unassigned{genus}(0);Unassigned{species}(0),Bacteria,Pseudomonadota,Gammaproteobacteria,Burkholderiales,Alcaligenaceae,Unassigned,Unassigned
